,LINE_ID,CHARACTER_ID,MOVIE_ID,CHARACTER_NAME,UTTERANCE
108282,L591774,u3204,m211,KLAATU,Something dramatic -- but not destructive.  It's quite an interesting problem.  Would day after tomorrow be all right? Say about noon?
108283,L591773,u3197,m211,BARNHARDT,Maybe a little demonstration.
108284,L591772,u3204,m211,KLAATU,Why don't you leave it to me? I'll think of something.
108285,L591771,u3197,m211,BARNHARDT,I wouldn't want you to harm anybody -- or destroy anything.
108286,L591770,u3204,m211,KLAATU,That can easily be arranged.
108287,L591769,u3197,m211,BARNHARDT,Something that would dramatize for them and for their people the seriousness of the situation. Something that would affect the entire planet.
108288,L591768,u3204,m211,KLAATU,Yes -- of course.
108289,L591767,u3197,m211,BARNHARDT,"Would such, a demonstration be possible before the meeting?"
108290,L591766,u3204,m211,KLAATU,Yes.
108291,L591765,u3197,m211,BARNHARDT,The people who came to the meeting must be made to realize this. They must understand what is at stake.  You mentioned a demonstration of force--
108292,L591764,u3204,m211,KLAATU,I assure you such power exists.
108293,L591763,u3197,m211,BARNHARDT,Such power exists?
108294,L591762,u3204,m211,KLAATU,"I'm afraid you have no alternative. In such, a case the planet Earth would have to be--  --eliminated."
108295,L591761,u3197,m211,BARNHARDT,"One thing, Mr. Klaatu. Suppose this group should reject your proposals. What is the alternative?"
108296,L591760,u3204,m211,KLAATU,I'm sure I'll be quite safe until the meeting.
108297,L591759,u3197,m211,BARNHARDT,I'm afraid I can't offer you any real protection. I have no influence in cases of inter-planetary conspiracy.
108298,L591758,u3204,m211,KLAATU,My name is Carpenter and I'm a very earthy character living in a respectable boarding house.
108299,L591757,u3197,m211,BARNHARDT,What about your personal safety in the meantime? What about the Army -- and the police?
108300,L591756,u3204,m211,KLAATU,No -- not at all.
108301,L591755,u3197,m211,BARNHARDT,You'd have no objection to revealing yourself at this meeting?
108302,L591754,u3204,m211,KLAATU,I leave that in your hands.
108303,L591753,u3197,m211,BARNHARDT,It is not enough to have men of science. We scientists are too easily ignored -- or misunderstood. We must get important men from every field. Educators -- philosophers -- church leaders -- men of vision and imagination -- the finest minds in the world.
108304,L591752,u3204,m211,KLAATU,That's what I came to see you about.
108305,L591751,u3197,m211,BARNHARDT,"Would you be willing to meet with the group of scientists I am calling together?. Perhaps you could explain your mission to them, and they in turn could present it to their various peoples."
108306,L591750,u3204,m211,KLAATU,"Violent action -- since that seems to be the only thing you people understand.  Leveling the island of Manhattan, perhaps -- or dropping the Rock of Gibraltar into the sea."
108307,L591749,u3197,m211,BARNHARDT,What -- what sort of action do you mean?
108308,L591748,u3204,m211,KLAATU,I come to you as a last resort -- and I confess that my patience is wearing thin.  Must I take drastic action in order to get a hearing?
108309,L591747,u3197,m211,BARNHARDT,I gather that your efforts on the official level were not entirely successful.
108310,L591746,u3204,m211,KLAATU,What I have to say must be said to all concerned.  It is too important to be entrusted to any individual.
108311,L591745,u3197,m211,BARNHARDT,Would you care to be more specific?
108312,L591744,u3204,m211,KLAATU,"I came here to warn you that, by threatening danger, your planet faces danger -- very grave danger. I am prepared, however, to offer a solution."
108313,L591743,u3197,m211,BARNHARDT,"We scientists understand this. Even we primitive scientists.  What exactly is the nature of your mission, Mr. Klaatu?"
108314,L591742,u3204,m211,KLAATU,"We had our atomic wars -- thousands of years ago.  After that we fought with bows and arrows. Then, slowly, we learned that fighting is no solution -- that aggression leads to chaos."
108315,L591741,u3197,m211,BARNHARDT,These other planets -- do they have peace and security?
